id,hospital_name,site_name,lat,lon,street,house_number,postcode,city,address,cntr_id,emergency,cap_beds,cap_prac,cap_rooms,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,geo_qual,comments
NO_993562718,"NORDLANDSSYKEHUSET, HABILITERING/REHAB, BODØ",,67.2804411811004,14.4144231888214,,,,,,NO,,,,,,Public,,,,,05/01/2024,22/04/2026,-2,Habilitering
CZ_139900,FAKULTNÍ THOMAYEROVA NEMOCNICE,,50.029776392257,14.45782297514,VÍDEÒSKÁ,800,14000.0,PRAHA 4,,CZ,,,,,FAKULTNÍ NEMOCNICE,,"PORODNICE, LÉÈEBNA PRO DLOUHODOBÌ NEMOCNÉ (LDN), LÉÈEBNA TUBERKUL.A RESPIR.NEMOCÍ (TRN), ZAØÍZENÍ LPS",+420261081111,info@ftn.cz,http://www.ftn.cz,01/09/2023,22/04/2026,,
CZ_139830,FAKULTNÍ NEMOCNICE BULOVKA,,50.115385115825,14.464080139513,BUDÍNOVA,67/2,18000.0,PRAHA 8,,CZ,,,,,FAKULTNÍ NEMOCNICE,,"PORODNICE, SAMOST. ORDINACE VŠEOB. PRAKT. LÉKAØE, SAMOSTATNÁ ODBORNÁ LABORATOØ, ZAØÍZENÍ LPS",+420266081111,info@bulovka.cz,http://www.bulovka.cz,01/09/2023,22/04/2026,,
CZ_94474,"VŠEOBECNÁ FAKULTNÍ NEMOCNICE V PRAZE, NEUROLOGICKÁ KLINIKA",,50.073548224462,14.42425231512,VINIÈNÁ,481/9,12800.0,PRAHA 2,,CZ,,,,,FAKULTNÍ NEMOCNICE,,,+420224961111,vfn@vfn.cz,https://www.vfn.cz/,01/09/2023,22/04/2026,,
CZ_48370,VŠEOBECNÁ FAKULTNÍ NEMOCNICE V PRAZE,,50.073442177455,14.420986623033,U NEMOCNICE,499/2,12800.0,PRAHA 2,,CZ,,,,,FAKULTNÍ NEMOCNICE,,LÉKÁRNA,+420224961111,vfn@vfn.cz,https://www.vfn.cz/,01/09/2023,22/04/2026,,
CZ_41976,FAKULTNÍ NEMOCNICE BRNO,,49.19892555629,16.596913496359,OBILNÍ TRH,526/11,60200.0,BRNO,,CZ,,,,,FAKULTNÍ NEMOCNICE,,PORODNICE,,,http://www.fnbrno.cz,01/09/2023,22/04/2026,,
CZ_41974,FAKULTNÍ NEMOCNICE BRNO,,49.203802170983,16.61798396274,ÈERNOPOLNÍ,212/9,61300.0,BRNO,,CZ,,,,,FAKULTNÍ NEMOCNICE,,"SAMOST. ORDINACE VŠEOB. PRAKT. LÉKAØE, ZAØÍZENÍ LPS",,,http://www.fnbrno.cz,01/09/2023,22/04/2026,,
CZ_41972,FAKULTNÍ NEMOCNICE BRNO,,49.174380769286,16.576574340647,JIHLAVSKÁ,340/20,62500.0,BRNO,,CZ,,,,,FAKULTNÍ NEMOCNICE,,,,,http://www.fnbrno.cz,01/09/2023,22/04/2026,,
CZ_5591,FAKULTNÍ NEMOCNICE OSTRAVA,,49.826802536183,18.161079319586,17. LISTOPADU,1790/5,70800.0,OSTRAVA,,CZ,,,,,FAKULTNÍ NEMOCNICE,,"PORODNICE, SAMOST. ORDINACE VŠEOB. PRAKT. LÉKAØE, SAM.ORD.PRAKT.LÉKAØE PRO DÌTI A DOROST, PØEPRAVA PACIENTÙ NEODKLADNÉ PÉÈE",420597371111.0,fno@fno.cz,https://www.fno.cz/,01/09/2023,22/04/2026,,
CZ_4170,FAKULTNÍ NEMOCNICE PLZEÒ - LOCHOTÍN,,49.762313183597,13.380227787268,ALEJ SVOBODY,923/80,32300.0,PLZEÒ,,CZ,,,,,FAKULTNÍ NEMOCNICE,,"PORODNICE, SAMOST. ORDINACE VŠEOB. PRAKT. LÉKAØE, ZAØÍZENÍ LPS, SAM.ORD.PRAKT.LÉKAØE PRO DÌTI A DOROST",,,https://www.fnplzen.cz/,01/09/2023,22/04/2026,,
CZ_4166,FAKULTNÍ NEMOCNICE PLZEÒ,,49.731772751343,13.375827469753,EDVARDA BENEŠE,1128/13,30100.0,PLZEÒ,,CZ,,,,,FAKULTNÍ NEMOCNICE,,"LÉÈEBNA PRO DLOUHODOBÌ NEMOCNÉ (LDN), SAM.ORD.PRAKT.LÉKAØE PRO DÌTI A DOROST, SAMOST. ORDINACE VŠEOB. PRAKT. LÉKAØE, ZDRAVOTNICKÁ DOPRAVNÍ SLUŽBA",,,https://www.fnplzen.cz/,01/09/2023,22/04/2026,,
CZ_1283,FAKULTNÍ NEMOCNICE HRADEC KRÁLOVÉ,,50.208474765335,15.841264275934,NEZVALOVA,265/15,50003.0,HRADEC KRÁLOVÉ,,CZ,,,,,FAKULTNÍ NEMOCNICE,,,,,http://www.fnhk.cz,01/09/2023,22/04/2026,,
CZ_1282,FAKULTNÍ NEMOCNICE HRADEC KRÁLOVÉ,,50.20040319789,15.826936413381,SOKOLSKÁ,581,50003.0,HRADEC KRÁLOVÉ,,CZ,,,,,FAKULTNÍ NEMOCNICE,,"PORODNICE, SAMOST. ORDINACE VŠEOB. PRAKT. LÉKAØE, ZAØÍZENÍ LPS, HEMODIALYZAÈNÍ STØEDISKO",,,http://www.fnhk.cz,01/09/2023,22/04/2026,,
CZ_1170,FAKULTNÍ NEMOCNICE U SV. ANNY V BRNÌ,,49.225699759147,16.590173977645,BERKOVA,1204/34,61200.0,BRNO,,CZ,,,,,FAKULTNÍ NEMOCNICE,,,420543181111.0,,http://www.fnusa.cz/,01/09/2023,22/04/2026,,
CZ_1167,FAKULTNÍ NEMOCNICE U SV. ANNY V BRNÌ,,49.191327013471,16.598771973442,PEKAØSKÁ,664/53,60200.0,BRNO,,CZ,,,,,FAKULTNÍ NEMOCNICE,,"SAMOST. ORDINACE VŠEOB. PRAKT. LÉKAØE, SAMOSTATNÁ ORDINACE PL - STOMATOLOGA",420543181111.0,,http://www.fnusa.cz/,01/09/2023,22/04/2026,,
